name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Cyrexa Improved Experimental,uaf_cyrexa_single_experimental,4,4,14210,1250,,450,,400,5,25,15,,1,KINETIC,250,,0.5,2.75,3,0.3,0,0,1,,,1200,,,450,"SYSTEM, STRIKE, CONSERVE_FOR_ANTI_ARMOR, CONSERVE_3, SHOW_IN_CODEX","kinetic20, LR, no_drop, no_drop_salvage, restricted",,United Aurora Federation,,General Purpose,,,,,,,,,,6
Tona I/S 125 Railgun,uaf_tona_i,1,0.5,1000,700,,130,160,30,10,7,,,,KINETIC,220,,0.5,1.5,1,0,0,1,1,,,1200,,,400,,"kinetic7, LR, uaf_weapon_bp, uaf_m_ship_bp",,United Aurora Federation,,Anti Shield Railgun,,,,,Projectiles can %s through light %s and potentially through small ships and fighters.,penetrate | obstacles,,,,2
Tona II/M 254 Railgun,uaf_tona_ii,2,2,2300,1000,,300,300,40,6,13,,,,KINETIC,550,,0.5,1.5,1,0,0,1,1,,,1200,,,420,,"kinetic14, LR, uaf_weapon_bp, uaf_m_ship_bp",,United Aurora Federation,,Anti Shield Railgun,,,,,Projectiles can %s through light %s and potentially through small ships and fighters.,penetrate | obstacles,,,,2
Tona III/L 452 Railgun,uaf_tona_iii,3,2,6000,1100,,600,600,50,3,23,,,,KINETIC,1100,,0.5,2,1,0,0,1,1,,,1200,,,450,,"kinetic21, LR, uaf_weapon_bp, uaf_military_rare_bp",,United Aurora Federation,,Anti Shield Railgun,,,,,Projectiles can %s through light %s and potentially through small ships and fighters.,penetrate | obstacles,,,,2
Tona IV/XL 608 (built-in),uaf_tona_iv,4,5,145000,1450,,2150,600,60,2,0,10,0.1,1,KINETIC,2050,,0.5,8,,,0,1,1,,,1200,,,600,"SYSTEM, NO_TURN_RATE_BOOST_WHEN_IDLE","no_drop, no_drop_salvage, no_dealer, restricted",,United Aurora Federation,,Anti Capital Railgun,,,,,Projectiles can %s through light %s and potentially through small ships and fighters.,penetrate | obstacles,,,,2
Tona IV/XL 608,uaf_sentry_gun,5,5,145000,1450,,2200,600,60,2,0,,,,KINETIC,2200,,1.5,14,,,0,1,1,,,1200,,,600,"SYSTEM, NO_TURN_RATE_BOOST_WHEN_IDLE","no_drop, no_drop_salvage, no_dealer, restricted",,United Aurora Federation,,Anti Capital Railgun,,,,,Projectiles can %s through light %s and potentially through small ships and fighters.,penetrate | obstacles,,,,2
Tona IV/XL 608 Shell,uaf_sentry_gun_shell_case,5,,1,10000,,10,,30,0,0,,,,KINETIC,0,,0,6,,,0,0,0,0,,50,50,1,50,SYSTEM,"no_drop, no_drop_salvage, restricted",,United Aurora Federation,,,,,,,,,,,,
Tona IV/XL 608 (Second),uaf_sentry_gun_double,5,5,145000,1450,,2200,600,60,2,0,,,,KINETIC,0,,,1,,,0,1,1,,,1200,,,600,"SYSTEM, NO_TURN_RATE_BOOST_WHEN_IDLE","no_drop, no_drop_salvage, no_dealer, restricted",,United Aurora Federation,,Anti Capital Railgun,,,,,Projectiles can %s through light %s and potentially through small ships and fighters.,penetrate | obstacles,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#STATION WEAPONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downstream/XL 808 Cannon,uaf_downstream_xlc,4,1,16000,900,,500,,200,3,25,,,,HIGH_EXPLOSIVE,850,,0.6,8,2,0.3,5,18,3,2,,800,,,400,,"he20, LR, uaf_prototype_bp",,United Aurora Federation,,Anti Capital Cannon,,,,,"A station-class weapon armed with time fuse which allows it to detonate at maximum range, deals area-of-effect damage along with random chance of bonus damage.",time fuse | area-of-effect,"Explosion deals additional %s High Explosive damage. Furthermore, a direct hit to hull or shield knockbacks the target, the strength scales with the target's hull size.",500,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#MISSILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#MISSILES,,,,,,,,,,,,,,,
Sakura ASM/MLRS (S),uaf_missile_barrage_builtin,0,,1000,3000,,100,50,30,0,0,240,0.4,12,HIGH_EXPLOSIVE,20,,0,5,12,0.2,0,0,0,,,300,140,20,60,"SYSTEM, GUIDED_POOR, DO_NOT_CONSERVE, DO_NOT_AIM","strike7, missile0, no_drop, no_drop_salvage",,United Aurora Federation,,Micro Missile (Suppression),Fast,Excellent,,,Rapid firing micro missile launcher designed to %s and %s the enemy defenses.,saturate | overwhelm,%s: The additional on-hit damage type can be changed through its hullmod.,Variable Warhead,TRUE,16.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakura ASM/MLRS,uaf_missile_barrage,0,,1250,3500,,150,50,30,0,0,360,0.4,24,HIGH_EXPLOSIVE,25,,0,7,24,0.3,0,0,0,,,300,140,20,60,"SYSTEM, GUIDED_POOR, DO_NOT_CONSERVE, DO_NOT_AIM","strike7, missile0, no_drop, no_drop_salvage",,United Aurora Federation,,Micro Missile (Suppression),Fast,Excellent,,,Rapid firing micro missile launcher designed to %s and %s the enemy defenses.,saturate | overwhelm,,,TRUE,16.4
Sakura II ASM/VMLRS,uaf_sakura_barrage,0,,1250,3500,,150,50,30,0,0,100,0.6,36,HIGH_EXPLOSIVE,25,,0,12,36,0.3,0,0,0,,,300,140,20,60,"SYSTEM, GUIDED_POOR, DO_NOT_CONSERVE, DO_NOT_AIM","strike7, missile0, no_drop, no_drop_salvage",,United Aurora Federation,,Micro Missile (Suppression),Fast,Excellent,,,Rapid firing micro missile launcher designed to %s and %s the enemy defenses.,saturate | overwhelm,,,TRUE,16.4
Sakura MLRS Catapult (L),uaf_missile_barrage_catapult,4,4,1250,3500,,150,50,30,20,18,240,0.4,12,HIGH_EXPLOSIVE,15,,0,5,12,0.07,0,0,0,,,300,140,20,60,"GUIDED_POOR, DO_NOT_CONSERVE, DO_NOT_AIM","strike7, missile5, uaf_prototype_bp",,United Aurora Federation,,Micro Missile (Suppression),Fast,Excellent,,,Rapid firing micro missile launcher designed to %s and %s the enemy defenses.,saturate | overwhelm,,,,16.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhythm LRM Pod (M),uaf_rhythm_base_triple,1,,3000,3500,,250,,85,50,7,18,0.15,3,HIGH_EXPLOSIVE,15,,0,5,3,0.35,0,0,0,0,,275,120,15,120,"GUIDED_POOR, DO_NOT_CONSERVE, DO_NOT_AIM","strike3, missile3, uaf_missile_bp, uaf_ship_bp",,United Aurora Federation,,Long Range Support Missile,Medium,Poor,,,"Great support weapon for backline vessels, best used against structures and ships.",support | structures and ships,,,,12.5
Rhythm LRM Catapult (L),uaf_rhythm_l_lrm,3,3,7700,3500,,250,,85,50,16,60,0.15,12,HIGH_EXPLOSIVE,25,,0,10,12,0.4,5,15,5,0,,275,120,15,120,"GUIDED_POOR, DO_NOT_CONSERVE, DO_NOT_AIM","strike6, missile6, uaf_missile_bp, uaf_ship_bp",,United Aurora Federation,,Long Range Support Missile,Medium,Poor,,,"Great support weapon for backline vessels, best used against structures and ships.",support | structures and ships,,,,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selemene MSM Launcher (S),uaf_selemene_s_mrm,1,,1200,2000,,50,600,15,50,4,3,0.04,1,ENERGY,15,,0,5,,,0,0,0,,,400,60,15,180,"STRIKE, DO_NOT_CONSERVE, DO_NOT_AIM","missile5, strike5, uaf_missile_bp, uaf_ship_bp",,United Aurora Federation,,Disruptive Missile,Fast,Excellent,,,Excellent for disabling enemy weapons and modules.,weapons and modules,,,TRUE,12.2
Selemene MSM Pod (M),uaf_selemene_m_mrm,1,,2400,2000,,50,600,15,50,8,6,0.08,2,ENERGY,15,,0,10,2,0.2,0,0,0,,,400,60,15,180,"STRIKE, DO_NOT_CONSERVE, DO_NOT_AIM","missile5, strike5, uaf_missile_bp, uaf_standard_rare_bp",,United Aurora Federation,,Disruptive Missile,Fast,Excellent,,,Excellent for disabling enemy weapons and modules.,weapons and modules,,,TRUE,12.2
Selemene MSM Rack (L),uaf_selemene_l_mrm,3,,8800,2000,,50,600,15,50,18,20,0.2,5,ENERGY,15,,0,20,5,0.2,0,0,0,,,400,60,15,180,"STRIKE, DO_NOT_CONSERVE, DO_NOT_AIM","missile5, strike5, uaf_missile_bp, uaf_standard_rare_bp",,United Aurora Federation,,Disruptive Missile,Fast,Excellent,,,Excellent for disabling enemy weapons and modules.,weapons and modules,,,TRUE,12.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exoscar/ASM Launcher (S),uaf_exoscar_torpedo_base,1,,3000,1500,,875,,120,15,3,3,0.02,1,HIGH_EXPLOSIVE,20,,0,20,1,,0,0,0,,,350,100,10,200,"STRIKE, DO_NOT_CONSERVE","strike7, rocket4, uaf_missile_bp, uaf_ship_bp",,United Aurora Federation,,Anti Ship Torpedo,Fast,Medium,,,Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,TRUE,9
Exoscar/ASM Pod (M),uaf_exoscar_torpedo_med,2,,5000,1500,,875,,120,15,11,8,0.04,2,HIGH_EXPLOSIVE,300,,0,20,2,0.75,0,0,0,,,350,100,10,200,"STRIKE, DO_NOT_CONSERVE","strike10, rocket6, uaf_missile_bp, uaf_ship_bp",,United Aurora Federation,,Anti Ship Torpedo,Fast,Medium,,,Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,TRUE,9
Exoscar/AASM Rack (L),uaf_exoscar_torpedo_large,3,,10500,1500,,875,,120,15,18,8,0.08,4,HIGH_EXPLOSIVE,400,,0,20,2,0.75,5,10,5,,,350,150,10,200,"STRIKE, DO_NOT_CONSERVE","strike10, rocket6, uaf_missile_bp, uaf_standard_rare_bp",,United Aurora Federation,,Anti Ship Torpedo,Fast,Medium,,,Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,TRUE,9
Exoscar/AASM Launcher (S),uaf_exoscar_torpedo_base_shield,2,,4300,1500,,750,,120,15,5,3,0.02,1,HIGH_EXPLOSIVE,20,,0,20,1,,0,0,0,,,350,100,10,500,"STRIKE, DO_NOT_CONSERVE","strike7, rocket7, uaf_missile_bp, uaf_m_ship_bp",,United Aurora Federation,,Anti Ship Torpedo,Fast,Medium,,,Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,TRUE,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocal SRM Pod (S),uaf_vocal_s_srm,1,,650,1000,,100,,15,50,5,60,0.2,6,HIGH_EXPLOSIVE,10,,0,3,6,0.2,10,50,5,0,,400,50,5,75,"ANTI_FTR, USE_VS_FRIGATES, DO_NOT_AIM, DO_NOT_CONSERVE","utility4, missile4, uaf_missile_bp, uaf_ship_bp",,United Aurora Federation,,Suppression Missile,Fast,Excellent,,,Effective against fighters and small-to-medium ships.,fighters | small-to-medium,,,,10
Vocal SRM Pod (M),uaf_vocal_m_srm,2,,3500,1000,,100,,15,50,8,120,0.2,12,HIGH_EXPLOSIVE,10,,0,5,12,0.2,10,50,5,0,,400,50,7,75,"ANTI_FTR, USE_VS_FRIGATES, DO_NOT_AIM, DO_NOT_CONSERVE","utility8, missile8, uaf_missile_bp, uaf_standard_rare_bp",,United Aurora Federation,,Suppression Missile,Fast,Excellent,,,Effective against fighters and small-to-medium ships.,fighters | small-to-medium,,,,10
Vocal SRM Pod (L),uaf_vocal_l_srm,2,,6000,1000,,100,,15,50,16,360,0.2,36,HIGH_EXPLOSIVE,10,,0,6,36,0.2,10,50,5,0,,400,50,10,75,"ANTI_FTR, USE_VS_FRIGATES, DO_NOT_AIM, DO_NOT_CONSERVE","utility14, missile14, uaf_missile_bp, uaf_standard_rare_bp",,United Aurora Federation,,Suppression Missile,Fast,Excellent,,,Effective against fighters and small-to-medium ships.,fighters | small-to-medium,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemente MRM Launcher (S),uaf_clemente_base,1,,800,1200,,500,,20,30,5,4,0.03,1,HIGH_EXPLOSIVE,10,,0,10,,,0,0,0,,,225,30,6,150,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","missile3, strike3, uaf_missile_bp, uaf_ship_bp",,United Aurora Federation,,Anti Ship Missile,Medium,Medium,,,Suitable against armored targets and exposed hull. Best used as a opening and finishing salvo.,armored targets | exposed hull,,,,10
Clemente MRM (Built-in),uaf_clemente_nakiha,1,,400,1200,,500,,20,30,0,8,0.03,2,HIGH_EXPLOSIVE,10,,0,5,,,0,0,0,,,225,30,6,150,"SYSTEM, STRIKE, DO_NOT_AIM, USE_VS_FRIGATES","missile1, strike1, no_drop, no_drop_salvage",,United Aurora Federation,,Anti Ship Missile,Medium,Medium,,,Suitable against armored targets and exposed hull. Best used as a opening and finishing salvo.,armored targets | exposed hull,,,,10
Clemente MRM Pod (M),uaf_clemente_s_mrm_double,2,,4000,1200,,500,,20,30,10,8,0.04,2,HIGH_EXPLOSIVE,10,,0,5,2,0.2,0,0,0,,,225,30,6,150,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","missile3, strike3, uaf_missile_bp, uaf_standard_rare_bp",DO_NOT_AIM,United Aurora Federation,,Anti Ship Missile,Medium,Medium,,,Suitable against armored targets and exposed hull. Best used as a opening and finishing salvo.,armored targets | exposed hull,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoon Launcher (S),uaf_typhoon_s_sasm,1,,800,1500,,5000,,200,10,3,2,0.010,1,FRAGMENTATION,300,,0,5,1,,0,0,0,0,,385,100,5,450,STRIKE,"strike8, rocket3, uaf_missile_bp, uaf_ship_bp",STRIKE,United Aurora Federation,,Anti Ship Torpedo,,Torpedo,Fast,None,"Unguided torpedo armed with fragmentation flechette warhead, effective as a finisher.",finisher,,,TRUE,
Typhoon Dual Pod (L),uaf_typhoon_l_sasm,1,,4500,1500,,5000,,200,10,22,6,0.010,1,FRAGMENTATION,300,,0,10,2,1.3,0,0,0,0,,385,100,5,450,STRIKE,"strike8, rocket3, uaf_missile_bp, uaf_standard_rare_bp",STRIKE,United Aurora Federation,,Anti Ship Torpedo,,Torpedo,Fast,None,"Unguided torpedo armed with fragmentation flechette warhead, effective as a finisher.",finisher,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaras MLRS (M),uaf_swaras_m_mlrs,1,,2650,2000,,125,100,15,20,15,80,0.29,12,KINETIC,55,,0,12,12,0.3,0,0,0,0,,450,20,4.75,100,"STRIKE, DO_NOT_AIM, USE_VS_FRIGATES, MISSILE_SPREAD","missile15, strike15, uaf_weapon_bp, uaf_m_ship_bp","DO_NOT_AIM, CONSERVE_3, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD",United Aurora Federation,,Multi-Purpose Rocket,,Suppression,Very Fast,Special,"Long range support, deals extra 10 high explosive damage on hit.",10 high explosive,Unguided after a brief initial aiming stage.,,,
Swaras MLRS (L),uaf_swaras_l_mlrs,2,,6000,2500,,175,100,15,20,23,180,0.29,20,KINETIC,55,,0,20,20,0.25,0,0,0,0,,450,20,4.75,100,"STRIKE, DO_NOT_AIM, USE_VS_FRIGATES, MISSILE_SPREAD","missile19, strike19, uaf_weapon_bp, uaf_military_rare_bp","DO_NOT_AIM, CONSERVE_3, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD",United Aurora Federation,,Multi-Purpose Rocket,,Suppression,Very Fast,Special,"Long range support, deals extra 20 high explosive damage on hit.",20 high explosive,Unguided after a brief initial aiming stage.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chorus AAM (S),uaf_chorus_s_amm,1,,2000,1000,,150,50,75,50,5,16,0.3,2,FRAGMENTATION,10,,0,6,4,0.5,0,0,0,0,,245,0,10,85,"PD, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD","utility8, missile6, uaf_missile_bp, uaf_military_rare_bp",,United Aurora Federation,,Point Defense (Guided),Fast,Good,Very Fast,Special,"Defensive shaped-charge missiles that detonate in a cone upon impact, dealing minor additional kinetic damage to fighters and enemy projectiles.",in a cone | kinetic,,,,
Chorus AAM (M),uaf_chorus_m_amm,2,1,3000,1500,,200,50,75,50,8,24,0.4,2,FRAGMENTATION,15,,0,8,6,0.5,0,0,0,0,,225,0,10,85,"PD, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD","utility8, missile10, uaf_missile_bp, uaf_military_rare_bp",,United Aurora Federation,,Point Defense (Guided),Fast,Good,Very Fast,Special,"Defensive shaped-charge missiles that detonate in a cone upon impact, dealing minor additional kinetic damage to fighters and enemy projectiles.",in a cone | kinetic,,,,
Chorus AAM (L),uaf_chorus_l_amm,3,2,3500,2000,,375,50,75,50,15,32,0.45,2,FRAGMENTATION,20,,0,10,8,0.5,0,0,0,0,,205,0,10,100,"PD, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD","utility8, missile12, uaf_missile_bp, uaf_m_ship_bp",,United Aurora Federation,,Point Defense (Guided),Fast,Good,Very Fast,Special,"Defensive shaped-charge missiles that detonate in a cone upon impact, dealing minor additional kinetic damage to fighters and enemy projectiles.",in a cone | kinetic,,,,
Meitou Chorus AAMX (L),uaf_meitou_chorus_nt,4,4,10000,2200,,375,50,75,50,17,32,0.3,2,FRAGMENTATION,50,,0,12,4,1,0,0,0,0,,195,0,10,100,"PD, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD","utility8, missile12",,United Aurora Federation,,Point Defense (Guided),Fast,Good,Very Fast,Special,Defensive shaped-charge missiles that deal significantly higher area of effect damage against fighters and missiles compared to regular Chorus.,area of effect | fighters and missiles,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minirest ASM Launcher (L),uaf_minirest_asm_l,3,,7000,3500,,800,,100,15,20,12,0.05,2,HIGH_EXPLOSIVE,500,,0,8.5,2,0.75,0,0,0,0,,400,0,25,250,"DO_NOT_AIM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","utility13, missile10, uaf_missile_bp, uaf_military_rare_bp",,United Aurora Federation,,Multi-Stage Cruise Missile,Medium,Good,,,"Unpredictable and experimental two-staged missile that will attempt to maneuver to the flank of the target, and then separate into a faster, non-guided munition that will accelerate at high speed towards the enemy.",Unpredictable | flank | accelerate at high speed,,,,12.5
Minirest ASM Launcher (System),uaf_minirest_ss,3,,900,3500,,800,,100,15,0,12,0.05,2,HIGH_EXPLOSIVE,0,,0,8.5,2,0.75,0,0,0,0,,400,300,10,250,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE","utility13, missile0, no_drop, no_drop_salvage",,United Aurora Federation,,Multi-Stage Cruise Missile,Medium,Good,,,,,,,,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minibreve Launcher (S),uaf_minibreve_tnt_s,1,1,10000,1500,,3250,,150,50,8,2,0.012,1,ENERGY,250,,0,45,1,,0,0,0,,,400,15,15,500,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM","strike8, rocket4, uaf_missile_bp, uaf_standard_rare_bp",STRIKE,United Aurora Federation,,Strike Cruise Missile (WMD),Medium,Medium,Poor,,"Cruise missile with low-yield nuclear warhead, it only deals single damage burst at much smaller area compared to Semibreve. Perfect to finish off small to medium targets.",single damage burst | small to medium targets,,,TRUE,9
Minibreve Pod (M),uaf_minibreve_tnt_m,1,1,25000,1500,,3250,,150,30,20,4,0.024,2,ENERGY,250,,0,60,2,1,0,0,0,,,400,15,15,500,"STRIKE, USE_VS_FRIGATES, DO_NOT_AIM","strike12, rocket8, uaf_missile_bp, uaf_military_rare_bp",STRIKE,United Aurora Federation,,Strike Cruise Missile (WMD),Medium,Medium,Poor,,"Cruise missile with low-yield nuclear warhead, it only deals single damage burst at much smaller area compared to Semibreve. Perfect to finish off small to medium targets.",single damage burst | small to medium targets,,,TRUE,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semibreve Launcher (L),uaf_semibreve_base,3,5,154500,3500,,10500,,2000,15,35,2,0.007,1,ENERGY,3650,,0.25,75,1,,0,0,0,,,350,15,15,1800,STRIKE,"strike8, rocket8, uaf_missile_bp, uaf_military_rare_bp",STRIKE,United Aurora Federation,,Nuclear Torpedo (WMD),,,,,"Multiple Burst Weapon System, it will detonate at least three times and deal damage consecutively over a large area. It will randomly deal up to 8000 energy damage in the initial burst, followed closely by bursts of 1250 energy damage and 1250 fragmentation damage.",8000 energy | 1250 energy | 1250 fragmentation,,,TRUE,9
Meitou Semibreve Pod (XL),uaf_semibreve_guided,3,5,154500,3500,,6000,,2000,15,35,2,0.007,1,ENERGY,3650,,0.25,75,1,,0,0,0,,,300,15,20,1800,SYSTEM,"strike8, rocket8, uaf_missile_bp, uaf_military_rare_bp",STRIKE,United Aurora Federation,,Nuclear Cruise Missile (WMD),,,,,"Multiple Burst Weapon System, it will detonate at least three times and deal damage consecutively over a large area. It will randomly deal up to 4000 energy damage in the initial burst, followed closely by bursts of 1000 energy damage and 1000 fragmentation damages.",4000 energy | 1000 energy | 1000 fragmentation,,,TRUE,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarinet HE/MIRV (Built-in),uaf_clarinet_mirv,3,,0,3500,,700,,75,50,0,10,0.05,5,HIGH_EXPLOSIVE,150,,,12,1,,,,,,,300,120,8,250,"SYSTEM, STRIKE, DO_NOT_AIM, CONSERVE_3,   CONSERVE_FOR_ANTI_ARMOR, GROUP_ALTERNATING, MISSILE_SPREAD, USE_VS_FRIGATES","missile8, strike8, he8, no_drop, no_drop_salvage, restricted","SYSTEM, DO_NOT_AIM",United Aurora Federation,,Cluster Missile (HE),Fast,Good,,,"Guided torpedo with limited turn rate, suitable against armored targets.",armored targets,,,,
Clarinet HE/MIRV Launcher (S),uaf_clarinet_mirv_small,2,1,1000,3500,,700,,75,50,6,10,0.05,5,HIGH_EXPLOSIVE,150,,,12,1,,,,,,,300,120,8,250,"STRIKE, DO_NOT_AIM, CONSERVE_3,   CONSERVE_FOR_ANTI_ARMOR, GROUP_ALTERNATING, MISSILE_SPREAD, USE_VS_FRIGATES","missile8, strike8, he8, uaf_ship_bp",DO_NOT_AIM,United Aurora Federation,,Cluster Missile (HE),Fast,Good,,,"Guided torpedo with limited turn rate, suitable against armored targets.",armored targets,,,,
Clarinet HE/MIRV Pod (M),uaf_clarinet_mirv_medium,3,,2500,3500,,700,,75,50,13,12,0.05,2,HIGH_EXPLOSIVE,150,,0,6,1,0.4,0,0,0,0,,300,120,9,250,"STRIKE, DO_NOT_AIM, CONSERVE_3,   CONSERVE_FOR_ANTI_ARMOR, GROUP_ALTERNATING, MISSILE_SPREAD, USE_VS_FRIGATES","missile8, strike8, he8, uaf_ship_bp",,United Aurora Federation,,Cluster Missile (HE),Fast,Good,,,"Guided torpedo with limited turn rate, suitable against armored targets.",armored targets,,,TRUE,12.5
Clarinet HE/MIRV Rack (L),uaf_clarinet_mirv_large,3,,8500,3500,,700,,75,50,22,16,0.04,2,HIGH_EXPLOSIVE,200,,0,18,2,0.4,1,5,2,0,,300,120,9,250,"STRIKE, DO_NOT_AIM, CONSERVE_3,   CONSERVE_FOR_ANTI_ARMOR, GROUP_ALTERNATING, MISSILE_SPREAD, USE_VS_FRIGATES","missile8, strike8, he8, uaf_standard_rare_bp",,United Aurora Federation,,Cluster Missile (HE),Fast,Good,,,"Guided torpedo with limited turn rate, suitable against armored targets.",armored targets,,,TRUE,12.5
Clarinet MIRV Sub,uaf_clarinet_mirv_sub,5,0,0,3500,,40,40,30,20,5,,,,HIGH_EXPLOSIVE,0,,0,10,24,0.2,0,0,0,,,300,120,4,210,"SYSTEM, GUIDED_POOR, DO_NOT_CONSERVE, DO_NOT_AIM, USE_VS_FRIGATES","no_drop, no_drop_salvage, restricted",,United Aurora Federation,,High Explosive Warhead,Fast,Excellent,,,,,,,TRUE,16.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oboe KE/MIRV Launcher (S),uaf_oboe_mirv_small,2,1,1000,3500,,700,,75,50,6,8,0.05,5,KINETIC,150,,,12,1,,,,,,,300,120,8,250,"STRIKE, DO_NOT_AIM, CONSERVE_3,   CONSERVE_FOR_ANTI_ARMOR, GROUP_ALTERNATING, MISSILE_SPREAD, USE_VS_FRIGATES","missile8, strike8, kinetic8, uaf_ship_bp",DO_NOT_AIM,United Aurora Federation,,Cluster Missile (KE),Fast,Good,,,"Guided torpedo with limited turn rate, suitable against shielded targets.",shielded targets,,,,
Oboe KE/MIRV Pod (M),uaf_oboe_mirv_medium,3,,2500,3500,,700,,75,50,13,12,0.05,2,KINETIC,150,,0,6,1,0.4,0,0,0,0,,300,120,9,250,"STRIKE, DO_NOT_AIM, CONSERVE_3,   CONSERVE_FOR_ANTI_ARMOR, GROUP_ALTERNATING, MISSILE_SPREAD, USE_VS_FRIGATES","missile8, strike8, kinetic8, uaf_ship_bp",,United Aurora Federation,,Cluster Missile (KE),Fast,Good,,,"Guided torpedo with limited turn rate, suitable against shielded targets.",shielded targets,,,TRUE,12.5
Oboe KE/MIRV Rack (L),uaf_oboe_mirv_large,3,,8500,3500,,700,,75,50,23,16,0.04,2,KINETIC,200,,0,18,2,0.4,1,5,2,0,,300,120,9,250,"STRIKE, DO_NOT_AIM, CONSERVE_3,   CONSERVE_FOR_ANTI_ARMOR, GROUP_ALTERNATING, MISSILE_SPREAD, USE_VS_FRIGATES","missile8, strike8, kinetic8, uaf_standard_rare_bp",,United Aurora Federation,,Cluster Missile (KE),Fast,Good,,,"Guided torpedo with limited turn rate, suitable against shielded targets.",shielded targets,,,TRUE,12.5
Oboe MIRV Sub,uaf_oboe_mirv_sub,5,,0,1500,,500,,200,20,0,,,,KINETIC,0,,0,12,1,0.4,0,0,0,0,,300,120,4,210,"SYSTEM, MISSILE_SPREAD, DO_NOT_CONSERVE, DO_NOT_AIM, USE_VS_FRIGATES","no_drop, no_drop_salvage, restricted",,United Aurora Federation,,Kinetic Warhead,,Torpedo,,,,,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazoch KE/MIRV Launcher (S),uaf_amazoch_s_asrm_single,3,,900,1500,,1500,,200,50,5,8,0.025,1,KINETIC,150,,0,12,1,,0,0,0,0,,450,12,9,250,STRIKE,"strike5, missile5, uaf_missile_bp, uaf_ship_bp",,United Aurora Federation,,Cluster Missile (KE),,Torpedo,,,"Guided torpedo with limited turn rate, suitable against shielded targets.",shielded targets,,,TRUE,12.5
Amazoch KE/MIRV Pod (M),uaf_amazoch_light_asrm_dual,3,,2500,1500,,1000,,200,50,13,12,0.05,2,KINETIC,150,,0,12,2,0.4,0,0,0,0,,450,12,9,250,STRIKE,"strike5, missile5, uaf_missile_bp, uaf_standard_rare_bp",,United Aurora Federation,,Cluster Missile (KE),,Torpedo,,,"Guided torpedo with limited turn rate, suitable against shielded targets.",shielded targets,,,TRUE,12.5
