id,type,text1,text2,text3,text4,text5,notes
uaf_super_nakiha_prototype,SHIP,"There are no Auroran military personnel who do not believe the Nakiha is an exceptional design. Entering its fourth generation, Nakiha-class frigates are the backbone of the Auroran naval forces, largely because of its capability to enter and leave, or even land and take off from terran-sized planets without assistance from mass driver runways. This functionality played a crucial role in the defense of the homeworld during the Battle for Aurora, in which they were simultaneously deployed in conflicts from high orbit to stratosphere and every altitude in between. This nimble and versatile warship should never be underestimated by its foe, as it may hold a couple of reserve surprises specifically for the oblivious.

The latest variant of the venerable Nakiha class frigate, the Super Nakiha was the result of collaboration between a frigate ace squadron and the primary naval design bureau. Its increased size allows more room for advanced internal upgrades, such as high-performance cruiser-grade engines supported by an even more efficient power plant, giving it a far greater thrust to weight ratio than a ship its size ought to have. The expenses for such upgrades, however, have limited production, and while a dozen were planned to be produced, only three made it out of the prototype stage thus far. The ship class was rumored to be cursed when the first prototype destroyer was nearly annihilated by a freak friendly fire accident caused by another during live fire trials. No details regarding the incident ever surfaced as it was quickly covered up by the navy but regardless, a legend was born because of it.

This ship was given up-to-date military-grade upgrades and a unique camouflage pattern belonging to the Auroran Royal Navy's November Fleet, personally led by the Aeria Charlotte herself. Additional armor plating and durable protective coating were installed to enhance the survivability of this ship; albeit at the cost of slightly lowered maneuverability and speed due to additional weight.",,,,,
uaf_straffia,SHIP,"The Straffia is one of the United Aurora Federation’s first forays into automated warfare. Built by Armok Industries and Manufacturing for deep space reconnaissance, it was these dutiful drone ships that first encountered the Federation’s new adversaries at the gate. Only armed for self defence, they were quickly dispatched, but not before they sent back crucial information: The Federation was not alone in space.

Following the Battle of Aurora and subsequent expedition into the Persean Sector, the Federation was in dire need of new information regarding their surroundings. With a scant few resources to spare, AIM opted to re-introduce the Straffia as a picket ship. These new Straffias were altered from their pre-expedition counterparts, being somewhat larger to accommodate new missile batteries for taking on larger vessels. This has come at a cost: self-maintenance equipment was sacrificed, dramatically lowering its operational range away from a friendly fleet, and  it has been known to explode spectacularly when shot due to the new missile magazines occupying a disproportionally large amount of space on board.
",,,,,
uaf_moraffia,SHIP,"The Moraffia is an unconventional, lightly armed warship designed by an independent group of captains and accepted into production by the Armok Industries and Manufacturing. Making it the Federation’s second official entry into the automated warfare doctrine. Whilst there were an excellent variety of choices among the existing ship roster, none of them would satisfy the demands of a ship that can carry supplies with extended range for a lengthy expedition. This led to the creation of Moraffia to serve as an alternative choice as an AWACS platform of a light carrier squadron in place of the much larger and more expensive Eyeseau, or serve as the lead escort of a logistic fleet. The Moraffia is also able to support the fleet by deploying long range drones mounting the reliable Tona-I railgun, allowing it to pressure the shields of much larger vessels at a safe distance.

While the Straffia proved to be excellent scouts and pickets, the Federation still struggled to coordinate large groups of them. The Moraffia as a result became a sort of mothership. Commands are given to the Moraffia, which then calculates and assigns its subordinate Straffias accordingly. Additionally, these capabilities were able to be shared with manned vessels as well, allowing the Moraffia to pair with a Minoria, granting it similar command and control capabilities to more capable carriers. While the scouting role has largely been ceded to the Nakihas following the colonization of Aurora, Moraffias are still deployed to organize and support Straffia patrols on the fringes of Auroran territories.
",,,,,
uaf_moraffia_ii,SHIP,"The Moraffia is an unconventional, lightly armed warship designed by an independent group of captains and accepted into production by the Armok Industries and Manufacturing. Making it the Federation’s second official entry into the automated warfare doctrine. Whilst there were an excellent variety of choices among the existing ship roster, none of them would satisfy the demands of a ship that can carry supplies with extended range for a lengthy expedition. This led to the creation of Moraffia to serve as an alternative choice as an AWACS platform of a light carrier squadron in place of the much larger and more expensive Eyeseau, or serve as the lead escort of a logistic fleet. The Moraffia is also able to support the fleet by deploying long range drones mounting the reliable Tona-I railgun, allowing it to pressure the shields of much larger vessels at a safe distance.

Moraffia II on the other hand is a new limited production variant, meant to compete against the Scinaut class Science Ship with several notable advantages. In order to be more capable of defending itself on lone scouting missions, its railgun drones have been traded for a more general purpose combat drone. Larger and more armored, these drones require additional space for storage and manufacturing. As a result, some of the redundancies and non-vital components were taken off the ship to maintain the ship’s relatively small profile.",,,,,
uaf_novayu,SHIP,"When designing their first frigate, there was a heated debate on whether she should be armed with ballistic weaponry, or missile hardpoints. In a bizarre twist, the Auroran Navy actually adopted both. The ballistic variant would become the famous Nakiha-series of frigates. The design for the missile variant would be shelved… until the Battle of Aurora witnessed the birth of the Purcellyra series of missile battlecruisers. With missile weaponry seeing viable use in warfare, the Auroran Navy sought to scale down the Purcellyra into a smaller, but still just as deadly package. Ship designers returned to the abandoned missile frigate, and within a few months, the Novayu was born.

She shares more in common with the Nakiha than just her role. The Novayu also has a great deal of flexibility. She performs a wide variety of roles, ranging from assisting from long range with powerful anti-shield missiles such as the Amazoch kinetic torpedo, closing to deliver swift finishing blows against crippled targets with the Exoscar anti-ship torpedo, or providing fighter screening for the squadron with Chorus anti-air batteries. It is not uncommon for multiple variants of Novayu to cover multiple positions within the formation.

The Novayu is not deployed as the core of a frigate squadron like the Nakiha. Realizing that missiles cannot perform as consistently as ballistic weaponry, the Novayu has instead been deployed in support of her sister ships. As a result, she tends to be rarer than the Nakiha, but is nonetheless invaluable to the Federation’s fast response squadrons.

“Fire the missiles! Fire them again! Fire them ALL!” - Commander Mungsk",,,,,
,,,,,,,
uaf_m_perwira,SHIP,"With the advent of larger ships becoming atmosphere capable, such as the Machi-series landing ships or the ever-present Nakihas, the need for shuttles that can transition from atmosphere into high orbit has dropped considerably. However, the old but proven Perwira shuttle design has proven popular among older Auroran naval officers, and has since seen a resurgence strong enough to see these shuttles put back into service. 

Originally designed to transport personnel to and from planetary installations, its armament was minimal, largely used to defend itself against would-be assailants within atmospheric limits. The shuttle, however, ended up seeing use in unintentional ways. The Perwira has the ability to break free of planetary atmosphere and gravitational fields akin to a single-stage rocket, boasting unrivaled speed in high orbit thanks to its Melody Micro Drive, and enabling it to outpace the ships made to carry it while in conventional space. This, coupled with “upgraded” weapons systems in the form of dual missile hardpoints, have had the Perwira being pressed into the role of a pseudo-fighter, earning it the nickname: “The Warrior”. Several commanders have reported success using it to dogfight alongside the only marginally slower Rama-class Corvettes and Nakihas, and the shuttle continues to see use amongst daredevils despite claims of redundancy by more sane officers.
",,,,,
uaf_ai_perwira,SHIP,"With the advent of larger ships becoming atmosphere capable, such as the Machi-series landing ships or the ever-present Nakihas, the need for shuttles that can transition from atmosphere into high orbit has dropped considerably. However, the old but proven Perwira shuttle design has proven popular among older Auroran naval officers, and has since seen a resurgence strong enough to see these shuttles put back into service. 

Originally designed to transport personnel to and from planetary installations, its armament was minimal, largely used to defend itself against would-be assailants within atmospheric limits. The shuttle, however, ended up seeing use in unintentional ways. The Perwira has the ability to break free of planetary atmosphere and gravitational fields akin to a single-stage rocket, boasting unrivaled speed in high orbit thanks to its Melody Micro Drive, and enabling it to outpace the ships made to carry it while in conventional space. This, coupled with “upgraded” weapons systems in the form of dual missile hardpoints, have had the Perwira being pressed into the role of a pseudo-fighter, earning it the nickname: “The Warrior”. Several commanders have reported success using it to dogfight alongside the only marginally slower Rama-class Corvettes and Nakihas, and the shuttle continues to see use amongst daredevils despite claims of redundancy by more sane officers.


This ship has been retrofitted and heavily modified to meet the specifications required by the Auroran Automata Expeditionary Division. It's equipped with the latest avionics and prototype upgrades, allowing it to outperform its predecessors while also a boasting lower sensor profile, thanks to the stealth technology behind its durable and unique AED coating.",,,,,
,,,,,,,
,,,,,,,
uaf_reisen,SHIP,"The Reisen class Battleship is one of the primary capital warships in use by the Auroran Federation Navy. Constructed with the philosophy that “the best defense is a good offense,” the Reisen wields unmatched firepower in the Auroran navy, with few exceptions. Combined with heavy armor relative to her Auroran peers, Reisen excels in prolonged engagements and siege battles.

Unlike most ships in the Sector, Reisen is capable of bringing all her guns to bear on a target thanks to her superfiring turrets. Additionally, she carries advanced rangefinder systems on board, allowing her to sustain fire over much greater distances. The sheer weight of the salvo is enough to rattle any experienced captain, and one must be prepared for an all-or-nothing assault if they wish to approach from the front. However, the same armor that lets her contend with other battleships in the Sector also renders her vulnerable to flanking by smaller, more maneuverable ships, especially wolf-packs with hit-and-run tactics. It is not uncommon to see Reisens accompanied by large numbers of escorts to accommodate for this weakness.

“Stand aside, I’m coming through!” -Captain Will Li, engaging a pirate battle group near Los Scrapyard
",,,,,
uaf_m_reisen,SHIP,"The Reisen class Battleship is one of the primary capital warships in use by the Auroran Federation Navy. Constructed with the philosophy that “the best defense is a good offense,” the Reisen wields unmatched firepower in the Auroran navy, with few exceptions. Combined with heavy armor relative to her Auroran peers, Reisen excels in prolonged engagements and siege battles.

Unlike most ships in the Sector, Reisen is capable of bringing all her guns to bear on a target thanks to her superfiring turrets. Additionally, she carries advanced rangefinder systems on board, allowing her to sustain fire over much greater distances. The sheer weight of the salvo is enough to rattle any experienced captain, and one must be prepared for an all-or-nothing assault if they wish to approach from the front. However, the same armor that lets her contend with other battleships in the Sector also renders her vulnerable to flanking by smaller, more maneuverable ships, especially wolf-packs with hit-and-run tactics. It is not uncommon to see Reisens accompanied by large numbers of escorts to accommodate for this weakness.

Armok Industries' Reflecta technology proved to be invaluable as it's capable of protecting the ship against anything but the most dangerous and volatile weaponry.
The Navy quickly invested untold amount of funding into developing a more economical version of the armor. This led to the creation of Reflecta II which is installable in modular armor plates, now commonly seen in dazzled warships.

“Stand aside, I’m coming through!” -Captain Will Li, engaging a pirate battle group near Los Scrapyard

This ship was given up-to-date military-grade upgrades and a unique camouflage pattern belonging to the Auroran Royal Navy's November Fleet, personally led by the Aeria Charlotte herself. Additional armor plating and durable protective coating were installed to enhance the survivability of this ship; albeit at the cost of slightly lowered maneuverability and speed due to additional weight.",,,,,
,,,,,,,
uaf_rillaru,SHIP,"Since the Auroran Federation’s arrival in the Sector, the Rillaru has become the standard by which battlecruisers are judged in the southern Persean Sector, whether its natives like it or not. Famously known for versatility in terms of firepower and agility, along with sleek design aesthetics, Rillaru is the most reliable capital ship to have ever served the Auroran Federation Navy, as well as being a favorite amongst crews and their officers alike. 

While not as durable or as powerful as the Reisen, half of the fleet admirals and captains of the Auroran Navy favor the Rillaru as their flagship, regardless of the fleet composition or formation. What it sacrifices in durability, it makes up for in maneuverability, being incredibly nimble for a ship of her size, able to navigate through large-scale engagements for favorable positions of attack with ease. Captains should not underestimate her firepower either, as she maintains enough firepower to engage any ship from virtually any angle. In the hands of a skilled captain it’s possible to engage in duels with proper battleships and prevail.",,,,,
uaf_ai_rillaru,SHIP,"Since the Auroran Federation’s arrival in the Sector, the Rillaru has become the standard by which battlecruisers are judged in the southern Persean Sector, whether its natives like it or not. Famously known for versatility in terms of firepower and agility, along with sleek design aesthetics, Rillaru is the most reliable capital ship to have ever served the Auroran Federation Navy, as well as being a favorite amongst crews and their officers alike. 

While not as durable or as powerful as the Reisen, half of the fleet admirals and captains of the Auroran Navy favor the Rillaru as their flagship, regardless of the fleet composition or formation. What it sacrifices in durability, it makes up for in maneuverability, being incredibly nimble for a ship of her size, able to navigate through large-scale engagements for favorable positions of attack with ease. Captains should not underestimate her firepower either, as she maintains enough firepower to engage any ship from virtually any angle. In the hands of a skilled captain it’s possible to engage in duels with proper battleships and prevail.

A rare variant of the Rillaru, this post-production battlecruiser was upgraded with extended side-mounted weapon platforms next to its flight decks. It is also installed with a reverse-engineered phase skimmer system which would give her unparalleled agility unlike its stock version.

This ship has been retrofitted and heavily modified to meet the specifications required by the Auroran Automata Expeditionary Division. It's equipped with the latest avionics and prototype upgrades, allowing it to outperform its predecessors while also a boasting lower sensor profile, thanks to the stealth technology behind its durable and unique AED coating.",,,,,
uaf_yrn_aeria_charlotte,SHIP,"Since the Auroran Federation’s arrival in the Sector, the Rillaru has become the standard by which battlecruisers are judged in the southern Persean Sector, whether its natives like it or not. Famously known for versatility in terms of firepower and agility, along with sleek design aesthetics, Rillaru is the most reliable capital ship to have ever served the Auroran Federation Navy, as well as being a favorite amongst crews and their officers alike. 

While not as durable or as powerful as the Reisen, half of the fleet admirals and captains of the Auroran Navy favor the Rillaru as their flagship, regardless of the fleet composition or formation. What it sacrifices in durability, it makes up for in maneuverability, being incredibly nimble for a ship of her size, able to navigate through large-scale engagements for favorable positions of attack with ease. Captains should not underestimate her firepower either, as she maintains enough firepower to engage any ship from virtually any angle. In the hands of a skilled captain it’s possible to engage in duels with proper battleships and prevail.

This post-production royal battlecruiser was made on the orders of the Permaisuri herself. The result was a battlecruiser that blended doctrines of both the heavily armed and armored November fleet, and the sleek maneuverability of the Automata Expeditionary Fleet. In particular, she boasts an additional rear turret and some Reflecta II plating, giving her protection and firepower similar to the Reisen IIs, while internally, she has received a number of engine and sensor upgrades, allowing her to maneuver similarly to the Rillaru IIs in spite of the added weight. All these upgrades come at an astronomical cost, and as such, only one vessel has ever been produced, under the flag of her namesake, Permaisuri Aeria Charlotte Yuki.

This ship has been modified differently compared to existing standards. She has been given the classification of 'Royal' type and the first ship to receive this designation.",,,,,
,SHIP,,,,,,
uaf_yrn_nonayen,SHIP,"While the Automata Expeditionary Division excel in hit and run tactics, they are at a severe disadvantage in a head on fight. In the event of a pitched battle, there are few vessels in their inventory that can withstand the might of a proper battleship. In need of an emergency response ship, the Ceyan Grand Armada authorized the development of the Nonayen class hybrid battlecruiser.


In order to satisfy the criteria of a long-range response ship, the Nonayen carries a massive engine block and minimal armor, and as a result, boasts one of the highest top speeds for a capital ship. Once on the scene, the improved Melody Drives divert the no longer needed engine power to shields, helping offset its light armor. Once firmly entrenched, the Nonayen makes swift work of enemy shields and armor with its powerful array of spinal weaponry. While she can tear apart enemy capital ships, her forward facing weapons make her rather vulnerable to flanking attacks from smaller vessels, and an EMP strike to her spinal array can cripple much of her firepower.
",,,,,
,,,,,,,
uaf_purcellyra,SHIP,"A radical addition to the capital formation of the Auroran Federation Navy, this missile battlecruiser entered the prototyping stage with a baptism of fire at the Battle for Aurora. During which she carved a swath of destruction through the opposition, literally and figuratively setting the skies ablaze in a violet inferno. While the production model has since scaled back its destructive capabilities, the ships themselves are often heralded as omens of destruction, and the original prototype that tore open the enemy that fateful day is rumored to still be in service.

The results of that battle were a surprise to many naval strategists who had been originally opposed to the Purcellyra’s creation, as the Auroran Federation had, and still does, pride itself on its ballistic gunnery. The current production model boasts four long-range cruise missile launchers, as well as two additional large hardpoints that, while they can mount ballistic weaponry at the behest of the gun admirals, are commonly sporting the weapon that set the Sector alight all those cycles ago, the Semibreve anti-fleet torpedo. With an internal missile manufactory, automated missile loading systems, and the best point defense capabilities the Federation has to offer, the Purcellyra commands a powerful presence as both the Auroran Federation’s premier missile ship and its best anti-missile defense platform.

“We came in peace, offering our song to the Sector, and they responded with violence. And so for our encore we brought forth Purcellyra, to conduct our symphony of destruction.” - Permaisuri Aeria Charlotte Yuki
",,,,,
uaf_yrn_persephone_natasya,SHIP,"A radical addition to the capital formation of the Auroran Federation Navy, this missile battlecruiser entered the prototyping stage with a baptism of fire at the Battle for Aurora. During which she carved a swath of destruction through the opposition, literally and figuratively setting the skies ablaze in a violet inferno. While the production model has since scaled back its destructive capabilities, the ships themselves are often heralded as omens of destruction, and the original prototype that tore open the enemy that fateful day is rumored to still be in service.

The results of that battle were a surprise to many naval strategists who had been originally opposed to the Purcellyra’s creation, as the Auroran Federation had, and still does, pride itself on its ballistic gunnery. The current production model boasts four long-range cruise missile launchers, as well as two additional large hardpoints that, while they can mount ballistic weaponry at the behest of the gun admirals, are commonly sporting the weapon that set the Sector alight all those cycles ago, the Semibreve anti-fleet torpedo. With an internal missile manufactory, automated missile loading systems, and the best point defense capabilities the Federation has to offer, the Purcellyra commands a powerful presence as both the Auroran Federation’s premier missile ship and its best anti-missile defense platform.

“We came in peace, offering our song to the Sector, and they responded with violence. And so for our encore we brought forth Purcellyra, to conduct our symphony of destruction.” - Permaisuri Aeria Charlotte Yuki

The Persephone Natasya is a heavily modified Purcellyra, named after a venerable captain who served as the first generation Taufan wing commander, and recently given an astounding leap in promotion to Vice Admiral. The hull has seen significant changes in various ways to address the Purcellyra’s weaknesses. Namely close quarters combat, as most Purcellyras had little they could do against a battleship closing the distance without frying itself with volatile energies. As a result, its top-side long range cruise missile launchers were instead replaced by large turret emplacements, allowing the Persephone to engage opponents at all ranges safely. To further solidify her role in the main battle line, she also received the newly developed Reflecta plating, granting her vastly improved protection against flanking opponents. Despite all the changes to make her suitable for brawling with battleships, she still maintains a deadly long reach in the shape of the Meitou Semibreve volatile cruise missiles. She now flies in the same iconic color pattern as the ceremonial Aeria Charlotte class Battlecruiser, taking part in the defense of Aurora as Solvernia's dependable enforcer in the November Fleet, though her captain yearns for more than simple patrol duty.

This ship has been modified differently compared to existing standards. She has been given the classification of 'Royal' type and the second ship to receive this designation.",,,,,
,,,,,,,
uaf_m_fusoreina,SHIP,"After witnessing the pure might of the alien battleships during the Battle of Aurora cycles ago, it became painfully clear that the Auroran Navy lacked a proper capital ship of its own. Without an armored warship to go toe-to-toe with their enemies’ battleships, their time in the Sector would be short-lived. The Fusoreina was designed as the stopgap solution to this capital problem.

Armok Industries and Manufacturing took the helm on this project, being one of only a few manufacturers capable of ship building to follow the Permaisuri’s expedition into the Sector. Named after one of the CEO’s friends who perished at the Battle of Aurora, the Fusoreina was the first true battleship fielded by the Auroran Navy within the Sector. In addition to heavy armor and abundant firepower, she was the test bed for both the recently reversed engineered damper fields, and AIM’s brand new Reflecta armor project. The result was that Fusoreina boasted unmatched armor protection within the sector.

Despite excelling in her role as a frontline warship, the cost of her armor and development meant she was not adopted into the Auroran Navy. However, her Reflecta armor lives on in the new Reflecta II modular armor plate, now mounted on most November fleet ships, including her replacement the Reisen II. The success of the Fusoreina project did win her many fans, and AIM took measures to reduce her costs while maintaining her performance, creating the Fusoreina II, which has now entered the prototype stage.

 This rare ship is part of the 'Prototypes' that are accepted into limited service of the Auroran Federation Navy. The ship's complex armor plating was deemed to be too expensive to maintain as it requires dedicated logistic support to keep it running which made it heavily reliant on a secured logistic chain from a homeport.  It is painted with the navy dazzle camouflage patterns with gold stripes along the forward bow to signify its prototype status.",,,,,
uaf_m_isenoria,SHIP,"Auroran battle doctrine has long been ruled by two schools of thought, strike craft superiority and ballistic gunnery. While the two sides have been at odds since the aircraft carrier's introduction to Auroran waters centuries ago, recently there has been a movement to merge these two tactics together on a single ship. The result was the prototype aviation battleship, the Isenoria.

Given life as a proof of concept, the Isenoria was built off the existing Reisen II hull. During retrofit, she sacrificed some firepower and armor in order to accommodate the facilities required to service and launch fighters, as well as receiving a large open flight deck above her engines. She would not be adopted into the Auroran Navy standard, however, as they already had an effective battle carrier in the form of the Zepporia-series carriers.

All was not lost for supporters of the Isenoria, though. As it turns out, her large aft flight deck was large enough to support the Auroran Navy’s strategic bomber, the Rafflesya, which, despite dwarfing the Nakiha, did not have the operational range to leave Aurora and engage the Federation’s enemies. The Isenoria continues to be built in limited quantities, now the proud mothership of one of the most powerful bombers within the Auroran arsenal, and one of the most feared ships by planetary and station administrators alike.

This rare ship is part of the 'Prototypes' that are declined into main service of the Auroran Federation Navy, but still chosen to be produced in limited numbers. It is painted with the navy dazzle camouflage patterns with gold stripes along the forward bow to signify its prototype status.",,,,,
uaf_m_sentry,SHIP,"Prior to the introduction of the Reisen, the Auroran Navy was in dire need of a ship that could  participate in extended long-distance engagements. With the Fusoreina still in development, and several cycles before the Reisen would be designed, the Auroran Navy decided that instead it would shorten engagement times by creating a weapon that could devastate ships in one shot.

A scaled up version of the existing Tona-series railgun, the Tona-IV proved to be remarkably effective. Delivering a powerful projectile that could penetrate clean through an enemy ship, and virtually shattering any shield it came across, the Tona-IV would be slated for use in devastating enemy capital ships and orbital defenses. Unfortunately, in order to meet expectations, the weapon became far too large to mount on existing ships, defeating the purpose of the project. Unwilling to let these capital killers go to waste, the Auroran Navy hastily designed the Sentry artillery cruiser. Designed around the Tona-IV, the original Sentry was little more than a set of engines strapped to the cannon itself. Nonetheless, properly escorted, she proved extraordinarily efficient at dealing with capital ships in live fire exercises. In order to ensure she could operate semi-autonomously, the Sentry received various upgrades, including point defenses and an MLRS system for engaging small to mid-size targets at closer ranges.

Learning from the Tona-IV, the Auroran Navy used the lessons learned in the development of the Sentry to create the Phenex railcannon turret. While smaller, she was still effective enough to pass clean through ships, and would be mounted on the future dreadnought, the Solvernia. The Sentry performed admirably at the Battle of Aurora, and while she shined in her given role, it reminded naval planners of her glaring weakness: her limited firing arcs. Having lost her escorts in the chaos, the Sentry was prone to being outmaneuvered and destroyed. After the battle, the Fusoreina would finish development, and the Reisen would enter the prototyping stage. The Sentry would resume production, but only in limited quantities. They now stand vigil over the Federation’s bases.

“You may fire when ready.” Captain Will “Huff” Tolkin

This variant of the Sentry primarily serves as a fleet support weapon, primarily as an anti-strike platform. Armed with 4 Sakura VLS missile batteries, this Sentry can flood the battlespace with numerous missiles, making approaching it with small ships and strikecraft an incredibly risky endeavour. This variant would first see deployment at Federation bases shortly after the Battle of Aurora. This rare ship is part of the 'Prototypes' that are declined into service of the Auroran Federation Navy, but still chosen to be produced in limited numbers.",,,,,
uaf_cy_sentry,SHIP,"Prior to the introduction of the Reisen, the Auroran Navy was in dire need of a ship that could  participate in extended long-distance engagements. With the Fusoreina still in development, and several cycles before the Reisen would be designed, the Auroran Navy decided that instead it would shorten engagement times by creating a weapon that could devastate ships in one shot.

A scaled up version of the existing Tona-series railgun, the Tona-IV proved to be remarkably effective. Delivering a powerful projectile that could penetrate clean through an enemy ship, and virtually shattering any shield it came across, the Tona-IV would be slated for use in devastating enemy capital ships and orbital defenses. Unfortunately, in order to meet expectations, the weapon became far too large to mount on existing ships, defeating the purpose of the project. Unwilling to let these capital killers go to waste, the Auroran Navy hastily designed the Sentry artillery cruiser. Designed around the Tona-IV, the original Sentry was little more than a set of engines strapped to the cannon itself. Nonetheless, properly escorted, she proved extraordinarily efficient at dealing with capital ships in live fire exercises. In order to ensure she could operate semi-autonomously, the Sentry received various upgrades, including point defenses and an MLRS system for engaging small to mid-size targets at closer ranges.

Learning from the Tona-IV, the Auroran Navy used the lessons learned in the development of the Sentry to create the Phenex railcannon turret. While smaller, she was still effective enough to pass clean through ships, and would be mounted on the future dreadnought, the Solvernia. The Sentry performed admirably at the Battle of Aurora, and while she shined in her given role, it reminded naval planners of her glaring weakness: her limited firing arcs. Having lost her escorts in the chaos, the Sentry was prone to being outmaneuvered and destroyed. After the battle, the Fusoreina would finish development, and the Reisen would enter the prototyping stage. The Sentry would resume production, but only in limited quantities. They now stand vigil over the Federation’s bases.

“You may fire when ready.” Captain Will “Huff” Tolkin

This variant of the Sentry serves as a mobile anti-ship battery. Unlike the standard variant that stands vigils over the Federation’s various footholds in space, this one sacrifices two of its missile launchers for the facilities needed to mount and operate a second railcannon. This makes the Sentry exceptionally dangerous to enemy capital ships, where its cannons can be fired in an alternating pattern for constant shield pressure, or together for an immense alpha strike to destroy enemy shields. This rare ship is part of the 'Prototypes' that are declined into service of the Auroran Federation Navy, but still chosen to be produced in limited numbers.",,,,,
uaf_eyeseau,SHIP,"The Eyeseau class is an auxiliary command ship that serves as a mobile hub for overall fleet communications, as well as serving as the Auroran Navy’s primary electronic warfare platform and early-warning radar. Based off of Yurian AWACS platforms that dominated the airspace of the Unifying War.

Commonly found in Auroran system defense fleets, these ships use their powerful radar arrays in order to detect man-made objects, usually pirates or would-be invaders, although they have also been seen used for search-and-rescue, locating stranded ships with accuracy much greater than standard Neutrino sensors. These same radars also contribute to her self-defense as well, allowing her to emit powerful jamming signals, disrupting enemy tracking and communications.

These powerful arrays come at a cost, the expenses limiting her production run, as well as requiring constant maintenance to keep them at optimal performance. Nonetheless, she has firmly entrenched herself as a vital part of any commander’s fleet, becoming the embodiment of the phrase “You can run, but you can’t hide.”

“Our hunt ends this day, pirate! There is nowhere you can flee that we cannot follow!” -Commander Genos Zalvus, pursuing an Entiaris raiding party

This rare ship is one of the prototypes not seen in offical Auroran Federation Navy service, but still chosen to be produced in limited numbers. It is painted with the navy's ""dazzle"" camouflage patterns with gold stripes along the forward bow to signify its prototype status.",,,,,
uaf_sunami_prototype,SHIP,"The Sunami landing cruiser is an oddity amongst the Sector. Her primary purpose is to safely deliver Auroran Marines to the combat zone, and to provide close range fire support. Unlike the Valkyrie troop transports, however, the Sunami also engages orbital defenses alongside the rest of the fleet as a long range support ship.

The Sunami is under equipped for ship to ship combat with opponents of equal size, as much of her compartments are dedicated to housing her vast complement of marines and vehicles. Additionally, her flight deck allows her to support atmospheric flight operations, enabling the use of normally in-atmosphere only aircraft. Combined, the Sunami carries enough landing forces to sweep aside any opposition on the ground, much like the natural disaster for which she is named for, turning the tide of any battle.

Despite excelling in her role, the Auroran Navy utilizes the Machi-series of troop transports, which were both cheaper and faster to produce. The Sunami still sees use by special forces, where her signature Rogue Wave battle strategy allows her to seize critical objectives faster than any other ship.

“One in the rubble, another in the rafters! The rest of you, follow me!” -Sergeant Gordo leading a ground assault into an enemy fortress.

 This rare ship is part of the 'Prototypes' that are accepted into limited service of the Auroran Federation Navy. A superior alternative was proposed and come in the form of Machi APA series which is cheaper and simpler to mass produce. It is painted with the navy dazzle camouflage patterns with gold stripes along the forward bow to signify its prototype status.
",,,,,
uaf_lyora_prototype,SHIP,"Developed after the United Aurora Federation’s arrival in the sector, this prototype destroyer is a highly specialized fleet disruption vessel. While she lacks direct firepower, its presence can be felt in any large fleet engagement. This is due to its signature weapon system’s unique properties, namely a unique implosion/explosion tandem warhead, earning it the nickname “The Lion’s Roar”. It was developed in response to the exotic technologies witnessed within the Persean Sector. What resists destruction from tactical breve strikes and copious saturation of projectiles, should be made reluctant to do so.

The Lyora is designed to break formations in large fleet engagements with its main armament. The large projectile is reinforced with heavy armor to carry its volatile payload into an enemy formation. The contents of this payload are rumored to be a weaponized by-product of classified Auroran research in the pastry industry. Detonation of this payload forms an extremely brief and unstable singularity, knocking out ship systems and pulling surrounding objects in. Following the implosion, a concussive blast scatters whatever mass has been collected. While absolutely devastating to a tight formation given the likely chance of violent collision, the Lion's Roar is somewhat ineffective at dealing with singular vessels as it lacks significant explosive power like its more potent anti-material cousin, Semibreve. The reinforced armor necessitates an enlarged engine that lacks the fine gimbal system of a typical anti-ship missile. Therefore, the Lyora captain should take into account the inertia of their vessel before firing the Lion's Roar. Field tests have determined that proficient usage of the weapon is difficult for an untrained captain, and sufficient caution should be used in deployment.

She followed a remarkably tempestuous development cycle. After the massive Auroran naval armor refurbishment and reclassification, several vessels had their classes updated to better reflect their roles within the fleet. Afterwards, the Auroran Navy found themselves without a single ship classified as a destroyer. Low ranking officials within the navy bantered that they'd never have a proper destroyer before they were all back on Aurora. Undeterred by jests, development of the Lyora demonstrated the resilience of the Auroran engineering teams assigned to the project. When design parameters became erratic, the fabled Armok Industries and Manufacturing (AIM) was called in to help finalize the blueprint. Despite the turbulent development, and limited production due to prototype design costs, she has become the first new destroyer class vessel within the newly re-organized Auroran Federation Navy.

This rare ship is part of the 'Prototypes' that are declined into main service of the Auroran Federation Navy, but still chosen to be produced in limited numbers. It is painted with the navy dazzle camouflage patterns with gold stripes along the forward bow to signify its prototype status.",,,,,
