id,trigger,conditions,script,text,options,notes
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationTalkMizukiOptionsSelectedBDisableIfNeeded,UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizukiOptions,$player.UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizukiB,"SetTooltip UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiB ""You already asked this question.""
SetEnabled UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiB false",,,
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationTalkMizukiOptionsSelectedB,DialogOptionSelected,$option == UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiB,"$player.UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizukiB = true
$player.UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizuki = true","""You know how it is,"" she says looking up at you. ""You’re in command. You need to act a certain way even if it means getting on some people’s nerves. Sometimes you have to be the bad guy just so the machine keeps working.""","UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiBCont:""Fair enough.""",
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationTalkMizukiOptionsSelectedBCont,DialogOptionSelected,$option == UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiBCont,FireAll UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizukiOptions,,,
,,,,,,
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationTalkMizukiOptionsC,UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizukiOptions,"UAFRelationCheck "">"" 14",,,"UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiC:""You didn’t actually sell us out did you?""",
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationTalkMizukiOptionsSelectedCDisableIfNeeded,UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizukiOptions,$player.UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizukiC,"SetTooltip UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiC ""You already asked this question.""
SetEnabled UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiC false",,,
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationTalkMizukiOptionsSelectedC,DialogOptionSelected,$option == UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiC,"$player.UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizukiC  = true
$player.UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizuki = true","""If I said 'no', would you believe me?"" Mizuki raises an eyebrow. ""Whether or not you believe me, these are the facts: I found signs of sabotage. I tried to ferret the traitor out. I was not in time to stop the traitor.""","UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiCCont:""Okay, I believe you.""",
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationTalkMizukiOptionsSelectedCCont,DialogOptionSelected,$option == UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationTalkMizukiCCont,FireAll UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizukiOptions,,,
,,,,,,
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationTalkYimieOptionsCallMizukiEsc,UAFTiltedDaggerPartTwoYimiePostRescueOperationPostConfrontationTalkMizukiOptions,,,,UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontation:Back,
,,,,,,
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationProceedTheHunt,DialogOptionSelected,$option == UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationReturnToChase,"SetTextHighlights ""Favonius""","With the tension between the two officers lightened, you let them know that you need to make further preparations. The two ultimately decide to follow your lead.

""Fine. But our window will not be open forever. Settle your affairs quickly."" Mizuki nods. ""We'll be waiting for you back on Favonius.""

""Don't keep two bombshells waiting."" Yimie flashes her million-credit smile.","UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationEnd:""I won't.""",
,,,,,,
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationEndHasZeppyButNotMetAlexandra,DialogOptionSelected,"$option == UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationEnd score:1000
!$global.UAFTiltedDaggerPartTwo_AlexandraResolutionSurrender score:1000
PlayerFleetHasShipWithId UAF_Tilted_Dagger_Zepporia","SetTextHighlightColors bad
SetTextHighlights ""$PlayerSirOrMadam, Aurorans have seized the Resolution!""
AdjustRep uaf HOSTILE -1
RemoveShipWithId UAF_Tilted_Dagger_Zepporia","You receive a chime on your TriPad. ""$PlayerSirOrMadam, Aurorans have seized the Resolution!"" Your chief of security says the crew you had aboard the Resolution have been swiftly detained and evicted from the ship. Those who resisted are bruised but otherwise, unharmed. Before you can ask why this was happening, Alexandra sends a message.",UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationAlexandraVoiceMail:Open the message,
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationEndHasZeppyButNotMetAlexandraVoysMeyl,DialogOptionSelected,$option == UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationAlexandraVoiceMail,UAFTiltedDaggerPartThreeCMD AlexandraVoiceMail,,UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationAlexandraVoiceMailEnd:Close the message,
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationEndHasZeppyButNotMetAlexandraEnd,DialogOptionSelected,$option == UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationAlexandraVoiceMailEnd,$global.UAFTiltedDaggerPartTwo_AlexandraResolutionSurrenderInvoluntary = true,"The message ends, and with it, so does your custody of the Resolution.",defaultLeave:Leave,
#Surrendered already or cleverly hidden somewhere,,,,,,
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationEndMetAlexandra,DialogOptionSelected,"$option == UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationEnd
$global.UAFTiltedDaggerPartTwo_AlexandraResolutionSurrender
#!PlayerFleetHasShipWithId UAF_Tilted_Dagger_Zepporia","SetTextHighlights ""Favonius""","It doesn't take long for the crew to get settled after the confrontation is over.

You have some time before your appointment on Favonius. What will your next steps be?",defaultLeave:Leave,
UAFTiltedDaggerPartTwoMizukiMissionYimieRescuedPostConfrontationEndNoZeppy,DialogOptionSelected,"$option == UAFTiltedDaggerPartTwo_YimiePostRescueOperationPostConfrontationEnd
!PlayerFleetHasShipWithId UAF_Tilted_Dagger_Zepporia
!$global.UAFTiltedDaggerPartTwo_AlexandraResolutionSurrender","SetTextHighlights ""Favonius""","It doesn't take long for the crew to get settled after the confrontation is over.

You have some time before your appointment on Favonius. What will your next steps be?",defaultLeave:Leave,
,,,,,,
#Tilted Dagger: Pursuit - Finale,,,,,,
UAFBarTiltedDaggerPartThreeInitialize,PopulateOptions,"$market.id == uaf_favonius_station_market
!$isPerson
$global.UAFTiltedDaggerMissionPartOne_Completed
$global.UAFTiltedDaggerMissionPartTwo_Completed
!$global.UAFTiltedDaggerMissionPartThreeFavoniusMeeting
!$global.UAFTiltedDaggerMissionPartThree_Completed","SetOptionColor UAFTiltedDaggerPartThree_SafehouseEvent highlight
SetTooltip UAFTiltedDaggerPartThree_SafehouseEvent ""Ride a shuttle down and proceed to the safehouse.""",,8:UAFTiltedDaggerPartThree_SafehouseEvent:Meet up with Yimie and Mizuki at the safehouse,
UAFTiltedDaggerPartThreeOptionStart,DialogOptionSelected,"$option == UAFTiltedDaggerPartThree_SafehouseEvent
!$player.UAFTiltedDaggerPartThreeFavoniusMizukiYimieMissionIntroFirstTime","BeginConversation uaf_mizuki true true
ShowSecondPerson uaf_yimie","Mizuki's house lies in a secluded area of an untouched beachside. Vegetation grows wildly around her two-storey house. When you arrive, she's already waiting for you by the door.

""All set? Then let's get inside."" Mizuki wastes no time on pleasantries.","UAFTiltedDaggerPartThree_SafehouseEventIntro:""Alright, let's go.""",
UAFTiltedDaggerPartThreeOptionStartAlt,DialogOptionSelected,"$option == UAFTiltedDaggerPartThree_SafehouseEvent
$player.UAFTiltedDaggerPartThreeFavoniusMizukiYimieMissionIntroFirstTime","BeginConversation uaf_mizuki true true
ShowSecondPerson uaf_yimie
$player.UAFTiltedDaggerPartThreeFavoniusMizukiYimieMissionIntroSecondTime = true","Mizuki gestures. ""Well, are you coming in this time?""

Yimie chuckles. ""Glad you're back.""","UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionACont:""Yeah, let's get that traitor.""",
,,,,,,
UAFTiltedDaggerPartThreeOptionStartIntro,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_SafehouseEventIntro,$player.UAFTiltedDaggerPartThreeFavoniusMizukiYimieMissionIntroFirstTime = true,"""Now that everyone is on the same page, we’ve got a traitor to catch."" says Mizuki.

Yimie is surprised. ""Already!? You’ve got a lead?""",UAFTiltedDaggerPartThree_FavoniusMissionStartBriefing:Continue,
UAFTiltedDaggerPartThreeOptionStartCont,DialogOptionSelected,"$option == UAFTiltedDaggerPartThree_FavoniusMissionStartBriefing
!$player.UAFTiltedDaggerPartThreeFavoniusMizukiYimieMissionIntroSecondTime","SetTextHighlights ""Lanun Listening Post""
FireAll UAFTiltedDaggerPartThreeBriefingAskMizuki
FireBest UAFTiltedDaggerPartThreeBriefingAskMizukiADisableIfNeeded
FireBest UAFTiltedDaggerPartThreeBriefingAskMizukiBDisableIfNeeded","""Indeed. He may have gotten the jump on me aboard the Resolution, but I managed to tag him before he left. As our friend here was getting you out of prison, I connected to their comms network and find a trail leading right to him."" Mizuki hands you her holopad. The signal’s last transmission appears to be from the Lanun Listening Post. ""Had our opponent been anyone else, they might have found the tracker. We’re lucky that the lower ranks of the Luddites are pretty much tech illiterate. Led us right back to home base before they figured out they were being watched.""

""We better move fast, though."" Mizuki said as she took her holopad back. ""I have no doubt those rats are scurrying about, trying to get the hell out of there before the authorities show up.""

Mizuki looks at the rest of you. ""Any questions?""",,
UAFTiltedDaggerPartThreeOptionStartContAlt,DialogOptionSelected,"$option == UAFTiltedDaggerPartThree_FavoniusMissionStartBriefing
$player.UAFTiltedDaggerPartThreeFavoniusMizukiYimieMissionIntroSecondTime","FireAll UAFTiltedDaggerPartThreeBriefingAskMizuki
FireBest UAFTiltedDaggerPartThreeBriefingAskMizukiADisableIfNeeded
FireBest UAFTiltedDaggerPartThreeBriefingAskMizukiBDisableIfNeeded","""We better move fast, though."" Mizuki said as she took her holopad back. ""I have no doubt those rats are scurrying about, trying to get the hell out of there before the authorities show up.""

Mizuki looks at the rest of you. ""Any questions?""",,
,,,,,,
UAFTiltedDaggerPartThreeBriefingAskMizukiA,UAFTiltedDaggerPartThreeBriefingAskMizuki,,,,"UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionA:""How'd you know the traitor was a Pather?""",
UAFTiltedDaggerPartThreeBriefingAskMizukiADisable,UAFTiltedDaggerPartThreeBriefingAskMizukiADisableIfNeeded,$player.UAFTiltedDaggerPartThreeFavoniusMizukiAskQuestionA,"SetTooltip UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionA ""You already asked this question.""
SetEnabled UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionA false",,,
UAFTiltedDaggerPartThreeBriefingOptionA,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionA,$player.UAFTiltedDaggerPartThreeFavoniusMizukiAskQuestionA = true,"""One of the sensor analysts came to me about a strange frequency. At the time, it could have been chalked up to noise, signals from long dead wrecks bouncing out towards our vessels. Unlucky traders getting snatched by pirates or raiders still broadcasting their distress calls. He was just going off his gut feeling so I only told him to look into it on his off-time. When he managed to intercept a portion of the transmission, it was just a vague unassuming query. It was when we detected someone was responding with some of our own on-board data that I knew we had a traitor on board. Would end every transmission with ‘Ludd be praised.’ I had made plans to apprehend him on the day of the attack. You know the rest.""","UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionACont:""I see.""",
UAFTiltedDaggerPartThreeBriefingOptionACont,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionACont,"FireAll UAFTiltedDaggerPartThreeBriefingAskMizuki
FireBest UAFTiltedDaggerPartThreeBriefingAskMizukiADisableIfNeeded
FireBest UAFTiltedDaggerPartThreeBriefingAskMizukiBDisableIfNeeded",,,
,,,,,,
UAFTiltedDaggerPartThreeBriefingAskMizukiB,UAFTiltedDaggerPartThreeBriefingAskMizuki,,,,"UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionB:""Any chance they could release the data to the open market?""",
UAFTiltedDaggerPartThreeBriefingAskMizukiBDisable,UAFTiltedDaggerPartThreeBriefingAskMizukiBDisableIfNeeded,$player.UAFTiltedDaggerPartThreeFavoniusMizukiAskQuestionB,"SetTooltip UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionB ""You already asked this question.""
SetEnabled UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionB false",,,
UAFTiltedDaggerPartThreeBriefingOptionB,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionB,$player.UAFTiltedDaggerPartThreeFavoniusMizukiAskQuestionB = true,"""For now? No. Judging by their most recent comms-chatter, they’re not willing to do anyone any favors. The cell responsible would rather keep the prize for itself, which means they’re going to have to run. We have time while they gather all their resources before pulling out, but the window is closing.""

""Guess I don't need to monitor the market anymore."" Yimie says with an edge in her voice.","UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionBCont:""That's good to know.""",
UAFTiltedDaggerPartThreeBriefingOptionBCont,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionBCont,"FireAll UAFTiltedDaggerPartThreeBriefingAskMizuki
FireBest UAFTiltedDaggerPartThreeBriefingAskMizukiADisableIfNeeded
FireBest UAFTiltedDaggerPartThreeBriefingAskMizukiBDisableIfNeeded",,,
,,,,,,
#Mission accept/start,,,,,,
UAFTiltedDaggerPartThreeBriefingAskMizukiC,UAFTiltedDaggerPartThreeBriefingAskMizuki,,,,"UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionC:""Let's get moving.""",
UAFTiltedDaggerPartThreeBriefingOptionC,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionC,"BeginMission UAFTiltedDaggerMissionPartThree
$global.UAFTiltedDaggerMissionPartThreeFavoniusMeeting = true",The drive back to your ships smoothly matched only by the silence of the two women in the back. Your crew quickly prepares for departure.,UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionCCont:Leave and head towards to Lanun,
UAFTiltedDaggerPartThreeBriefingOptionCCont,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionCCont,"ShowDefaultVisual
DismissDialog",,,
,,,,,,
#Change player's mind,,,,,,
UAFTiltedDaggerPartThreeBriefingAskMizukiD,UAFTiltedDaggerPartThreeBriefingAskMizuki,,,,"UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionD:""I have some things to reorganize first.""",
UAFTiltedDaggerPartThreeBriefingOptionD,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionD,,"Mizuki furrows her brows. ""I understand but we don't have a lot of time to waste. Be quick about your preparations.""",UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionDEnd:Leave,
UAFTiltedDaggerPartThreeBriefingOptionDEnd,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_FavoniusMissionBriefingOptionDEnd,"ShowDefaultVisual
DismissDialog",,,
,,,,,,
#In Lanun,,,,,,
UAFTiltedDaggerPartThreeLanunRaidBegin,MarketPostDock,"$market.id == uaf_lanun_station_market
$global.UAFTiltedDaggerMissionPartThreeFavoniusMeeting score:1000
!$player.UAFTiltedDaggerPartThreePatherBossFleetWon",FireAll UAFTiltedDaggerPartThreeLanunPatherEncounter,"As you arrive in orbit, a large amount of Pather ships emerge from the station, forming a significant fleet. They shadow your ships and block your approach. Your fleet then receives a video transmission on an open channel.",,
,,,,,,
UAFTiltedDaggerPartThreeLanunRaidBeginIntro,UAFTiltedDaggerPartThreeLanunPatherEncounter,,,,UAFTiltedDaggerPartThreeLanunPatherEncounterOpenComm:Open the comm link,
UAFTiltedDaggerPartThreeLanunRaidBeginIntroCommLink,DialogOptionSelected,$option == UAFTiltedDaggerPartThreeLanunPatherEncounterOpenComm,ShowPersonVisual true uaf_random_tilted_traitor,"""Heathen, your efforts to halt the will of Ludd cannot be ignored. Your assistance to those that would conspire with and harbor those soulless abominations is abhorrent and vile. Truly, Ludd tests us in excruciating ways. We shall keep our faith, foul heathen, and take peace in your demise!""","UAFTiltedDaggerPartThreeLanunPatherEncounterEngage:""You will go down today.""",
UAFTiltedDaggerPartThreeLanunRaidBeginIntroEngage,DialogOptionSelected,$option == UAFTiltedDaggerPartThreeLanunPatherEncounterEngage,UAFTiltedDaggerPartThreeCMD EngageLuddicPathBossFleet,You've arrived just in time! Hunt them down and make sure they cannot escape.,,
,,,,,,
UAFTiltedDaggerPartThreeLanunRaidPatherFleetPostBattle,UAFTiltedDaggerPartThree_LanunPostBattle,!$global.UAFTiltedDaggerPartThree_LanunPostDialog,"SetTextHighlights ""Your bridge crew informs you that Yimie and Mizuki have already descended with fireteams during the naval engagement""
$global.UAFTiltedDaggerPartThree_LanunPatherTraitorKilled = true
Call $global.UAFTiltedDaggerMissionPartThree updateStage
$global.UAFTiltedDaggerPartThree_LanunPostDialog = true","With any would-be escapees now spaced or stranded, you turn your attention to the listening post itself. Your bridge crew informs you that Yimie and Mizuki have already descended with fireteams during the naval engagement. You prepare to catch up with them.",UAFTiltedDaggerPartThree_LanunPatherFleetTraitorWonPostBattleCont:Proceed down the station,
UAFTiltedDaggerPartThreeLanunRaidPatherFleetPostBattleEnd,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunPatherFleetTraitorWonPostBattleCont,DismissDialog,,,
,,,,,,
UAFTiltedDaggerPartThreeLanunRaidCommenced,MarketPostDock,"$market.id == uaf_lanun_station_market
$global.UAFTiltedDaggerPartThree_LanunPostDialog
!$global.UAFTiltedDaggerPartThree_LanunPostOperation","ShowPersonVisual true uaf_mizuki
#FireAll UAFTiltedDaggerPartThreeLanunPatherEncounter","You head toward Lanun’s docking area, and after navigating towards the appropriate areas, find Mizuki watching Yimie crawl over a strike craft parked in a newly unsealed fighter bay. ""Hey!"" Mizuki calls out to you with a bit of pride. ""You’re finally here! We got here just in time, too. It looks like they were packing up the Hyper Aria prototype when they learned we were onto them. Yimie’s giving her a once over before we retrieve her to make sure nothing is missing. In the meantime, we better do a sweep before we leave. You may have put the fleet out of action, but there could still-""","UAFTiltedDaggerPartThree_LanunRaidCommenced:""Look out!""",
UAFTiltedDaggerPartThreeLanunRaidCommencedStart,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunRaidCommenced,ShowImageVisual raid_valuables_result,"Yimie cries out from beside the craft. Turning, you see that she’s scrambling towards you as gunfire rings out from the far side of the hangar. You, Mizuki, and your security team spring into action. For several minutes you trade fire with what seems to be an endless amount of Pathers.

At some point you stopped keeping count of how many you've gunned down, moving from one to the next. Thankfully, you and your team get the upper hand and begin to advance on the enemy. Sensing the shift in the battle, the enemy makes a break for the last remaining frigate on the station. As it takes off, your ships open fire on it. A lucky shot clips the engine, yet it manages to take cover in the nearby asteroid belt. It won't be long before it escapes.",UAFTiltedDaggerPartThree_LanunRaidCommencedCont:Continue,
UAFTiltedDaggerPartThreeLanunRaidCommencedCont,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunRaidCommencedCont,BeginConversation uaf_yimie true true,"Returning your attention to your surroundings, you find that most of your casualties are minor… Save for Mizuki. From your cursory glance, you see two shots to the chest. She needs surgery.

You look for Yimie, finding her fuming. Before you can call out to her, she immediately jumps into the cockpit of the Hyper Aria in order to pursue the frigate. You reach for your commlink, connecting to her as she begins to run pre-flight checks","0:UAFTiltedDaggerPartThree_LanunRaidCommencedOptionA:Order Yimie to take Mizuki back to the flagship
1:UAFTiltedDaggerPartThree_LanunRaidCommencedOptionB:Tell Yimie to shoot the stragglers down",
,,,,,,
#Option A,,,,,,
UAFTiltedDaggerPartThreeLanunRaidCommencedOptionA,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunRaidCommencedOptionA,,"You call out for a medic before trying to stem the bleeding. ""Yimie! Listen to me. Mizuki's been hit. I need you to take her back to the flagship."" You apply pressure on the wound, doing your best to stem the bleeding.

She pauses. ""Do you know what you’re asking me?""","UAFTiltedDaggerPartThree_LanunRaidCommencedOptionACont:""I do.""",
#Option A Success - Same $option so don't fuck it up,,,,,,
UAFTiltedDaggerPartThreeLanunRaidCommencedOptionASuccess,DialogOptionSelected,"$option == UAFTiltedDaggerPartThree_LanunRaidCommencedOptionACont
UAFRelationCheck "">"" 10",,"Yimie understandably grumbles. Mizuki is quickly stabilized and loaded into the Weapons Systems Officer's seat, behind Yimie, and she quickly takes off and rejoins the fleet.

""You better open me a bar tab when we get back, Starfarer.""",UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionSuccess:Continue,
#Option A Failure  - Same $option so don't fuck it up,,,,,,
UAFTiltedDaggerPartThreeLanunRaidCommencedOptionAFail,DialogOptionSelected,"$option == UAFTiltedDaggerPartThree_LanunRaidCommencedOptionACont
UAFRelationCheck ""<"" 10","SetTextHighlightColors ""155,0,0,255""
SetTextHighlights ""Mizuki does not survive the hour""
$global.UAFTiltedDaggerPartThree_FailureConclusion = true","""Then you know I can't follow that order.""

The jet whines to life before roaring to chase after the fleeing Pathers. You go on your comms urgently seeking another transport for Mizuki. It isn't long before you hear reports of Yimie hosing the frigate with tracer-fire. The medic shakes his head at you. Mizuki does not survive the hour, and you close her eyes just after her vitals cease. Yimie reports success, with some triumph in her voice. You feel little of it while your hands are still slick with Mizuki's blood.
",UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionFailure:Continue,
UAFTiltedDaggerPartThreeLanunRaidCommencedOptionAFailCont,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionFailure,"AdjustRep uaf HOSTILE -5
$global.UAFTiltedDaggerPartThree_ReturnToNur = true
Call $global.UAFTiltedDaggerMissionPartThree updateStage
$global.UAFTiltedDaggerPartThree_LanunPostOperation = true","After dealing with Mizuki's body, you write your initial report of the situation to the UAF. With plans to send it back once you reach the ideal comms relay, you make your way back to Nur.",UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionFailureEnd:Leave Lanun and return to Nur,
UAFTiltedDaggerPartThreeLanunRaidCommencedOptionAFailureEnd,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionFailureEnd,"ShowDefaultVisual
DismissDialog",,,
#Option B  Bad,,,,,,
UAFTiltedDaggerPartThreeLanunRaidCommencedOptionBBad,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunRaidCommencedOptionB,"SetTextHighlightColors ""155,0,0,255""
SetTextHighlights ""Mizuki dies""
$global.UAFTiltedDaggerPartThree_BadConclusion = true","Yimie takes off in pursuit, leaving you and your team to escort the fatally wounded Mizuki back to the dock. It takes you a few minutes for you and your teams to get her a transport. As you prepare for liftoff, you see a burst of orange behind the transport.

The frigate erupts into a fireball, spilling debris. Yimie reports success with a hint of pride, but Mizuki dies en route back to the fleet. You feel little glory. With hands slick with Mizuki’s blood, you reach up to close her eyelids. Revenge on her killers is cold comfort.","UAFTiltedDaggerPartThree_LanunRaidCommencedOptionBCont:""...""",
UAFTiltedDaggerPartThreeLanunRaidCommencedOptionBBadCont,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunRaidCommencedOptionBCont,"$global.UAFTiltedDaggerPartThree_ReturnToNur = true
Call $global.UAFTiltedDaggerMissionPartThree updateStage
$global.UAFTiltedDaggerPartThree_LanunPostOperation = true
AdjustRep uaf HOSTILE -5","After dealing with Mizuki's body, you write your initial report of the situation to the UAF. With plans to send it back once you reach the ideal comms relay, you make your way back to Nur.",UAFTiltedDaggerPartThree_LanunRaidCommencedOptionBEnd:Leave Lanun and return to Nur,
UAFTiltedDaggerPartThreeLanunRaidCommencedOptionBBadEnd,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunRaidCommencedOptionBEnd,"ShowDefaultVisual
DismissDialog",,,
,,,,,,
"#Main Success Conclusion - Oh my god go fuck yourself with a RUSTY rake, VENRIIII AAAAAAARGHHH",,,,,,
UAFTiltedDaggerPartThreeLanunRaidCommencedMainSuccess,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionSuccess,"ShowImageVisual free_orbit
FireAll UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionSuccessOptions
FireBest UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionSuccessOptionADisableIfNeeded
FireBest UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionSuccessOptionBDisableIfNeeded","Thanks to Yimie’s immediate assistance, Mizuki gets timely surgical treatment. The rest of your armed forces secure the Pather facilities, and make a clean sweep of the area. Your engineering teams soon follow them for Sensitive Site Exploitation procedures. Within an hour, all data devices are retrieved. What you cannot take with you is properly and thoroughly disposed of.

After having a debrief with your officers you plan your next move.",,
#Opt A - Visit Yimie,# More fucking branching nonsense,,,,,
UAFTiltedDaggerPartThreeLanunRaidCommencedMainSuccessOptionAFire,UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionSuccessOptions,,,,UAFTiltedDaggerPartThree_LanunRaidCompleteMainConclusionSuccessOptA:Visit Yimie,
UAFTiltedDaggerPartThreeLanunRaidCommencedMainSuccessOptionAFireDisableIfNeeded,UAFTiltedDaggerPartThree_LanunRaidCommencedMainConclusionSuccessOptionADisableIfNeeded,$player.UAFTiltedDaggerPartThree_LanunRaidCompleteMainConclusionSuccessOptionAClicked,"SetTooltip UAFTiltedDaggerPartThree_LanunRaidCompleteMainConclusionSuccessOptA ""You already visited her.""
SetEnabled UAFTiltedDaggerPartThree_LanunRaidCompleteMainConclusionSuccessOptA false",,,
# Opt A,,,,,,
UAFTiltedDaggerPartThreeLanunRaidCommencedMainSuccessOptionA,DialogOptionSelected,$option == UAFTiltedDaggerPartThree_LanunRaidCompleteMainConclusionSuccessOptA,ShowPersonVisual true uaf_yimie,"Asking around for Yimie leads you to the hangar. As she talks to your maintainers about what the prototype needs, you see an enthusiasm and peace that suits her quite well. As she goes over the cockpit, no doubt making microadjustments to suit her style.","UAFTiltedDaggerPartThree_LanunRaidCompleteMainConclusionSuccessOptACont:""Yimie.""",
